Model,Target,MAE,RMSE,R2,MAPE (%),Max Error
Linear Regression,SOH,0.0,0.0,1.0,0.0,0.0
Linear Regression,RUL,6.5192,8.0588,0.9827,3.458134575658797e+16,19.4411
Ridge Regression,SOH,0.1046,0.1269,0.9999,0.1632,0.3125
Ridge Regression,RUL,6.4621,8.0564,0.9827,2.6281483828746884e+16,19.2783
Lasso Regression,SOH,0.0636,0.0808,1.0,0.0922,0.2048
Lasso Regression,RUL,6.4268,7.9282,0.9833,3.396991954565009e+16,18.6341
Polynomial (deg=2),SOH,0.1534,0.1902,0.9999,0.2161,0.7034
Polynomial (deg=2),RUL,4.5031,6.2618,0.9896,2.088789366407751e+16,19.4332
Polynomial (deg=3),SOH,0.6299,0.8629,0.9971,0.9298,4.6086
Polynomial (deg=3),RUL,8.3771,11.0609,0.9675,1.663805167929691e+17,50.2437
Exponential Model,SOH,1.4666,1.7464,0.989,2.299,4.9773
Exponential Model,RUL,101.3368,114.1112,-1.9399,93.4363,176.0
